ID,DESCRIPTION,IGNORED,CATEGORY,TABLE,COLUMN,LEVEL
1,"Population, 2021 (1)",FALSE,,da_basic_info,population,0
2,"Population, 2016 (1)",TRUE,,,,0
3,"Population percentage change, 2016 to 2021",TRUE,,,,0
4,Total private dwellings (2),TRUE,,,,0
5,Private dwellings occupied by usual residents (3),TRUE,,,,0
6,Population density per square kilometre,FALSE,,da_basic_info,density,0
7,Land area in square kilometres,FALSE,,da_basic_info,area,0
8,Total - Age groups of the population - 100% data,FALSE,,,,0
9,0 to 14 years,FALSE,,,,1
10,0 to 4 years,FALSE,,da_age_info,ages_0_to_4,2
11,5 to 9 years,FALSE,,da_age_info,ages_5_to_9,2
12,10 to 14 years,FALSE,,da_age_info,ages_10_to_14,2
13,15 to 64 years,FALSE,,,,1
14,15 to 19 years,FALSE,,da_age_info,ages_15_to_19,2
15,20 to 24 years,FALSE,,da_age_info,ages_20_to_24,2
16,25 to 29 years,FALSE,,da_age_info,ages_25_to_29,2
17,30 to 34 years,FALSE,,da_age_info,ages_30_to_34,2
18,35 to 39 years,FALSE,,da_age_info,ages_35_to_39,2
19,40 to 44 years,FALSE,,da_age_info,ages_40_to_44,2
20,45 to 49 years,FALSE,,da_age_info,ages_45_to_49,2
21,50 to 54 years,FALSE,,da_age_info,ages_50_to_54,2
22,55 to 59 years,FALSE,,da_age_info,ages_55_to_59,2
23,60 to 64 years,FALSE,,da_age_info,ages_60_to_64,2
24,65 years and over,FALSE,,,,1
25,65 to 69 years,FALSE,,da_age_info,ages_65_to_69,2
26,70 to 74 years,FALSE,,da_age_info,ages_70_to_74,2
27,75 to 79 years,FALSE,,da_age_info,ages_75_to_79,2
28,80 to 84 years,FALSE,,da_age_info,ages_80_to_84,2
29,85 years and over,FALSE,,da_age_info,ages_85_and_over,2
30,85 to 89 years,TRUE,,,,3
31,90 to 94 years,TRUE,,,,3
32,95 to 99 years,TRUE,,,,3
33,100 years and over,TRUE,,,,3
34,Total - Distribution (%) of the population by broad age groups - 100% data,TRUE,,,,0
35,0 to 14 years,TRUE,,,,1
36,15 to 64 years,TRUE,,,,1
37,65 years and over,TRUE,,,,1
38,85 years and over,TRUE,,,,2
39,Average age of the population,TRUE,,,,0
40,Median age of the population,TRUE,,,,0
41,Total - Occupied private dwellings by structural type of dwelling - 100% data,TRUE,,,,0
42,Single-detached house,TRUE,,,,1
43,Semi-detached house,TRUE,,,,1
44,Row house,TRUE,,,,1
45,Apartment or flat in a duplex,TRUE,,,,1
46,Apartment in a building that has fewer than five storeys,TRUE,,,,1
47,Apartment in a building that has five or more storeys,TRUE,,,,1
48,Other single-attached house,TRUE,,,,1
49,Movable dwelling (4),TRUE,,,,1
50,Total - Private households by household size - 100% data,TRUE,,,,0
51,1 person,TRUE,,,,1
52,2 persons,TRUE,,,,1
53,3 persons,TRUE,,,,1
54,4 persons,TRUE,,,,1
55,5 or more persons,TRUE,,,,1
56,Number of persons in private households,TRUE,,,,0
57,Average household size,TRUE,,,,0
58,Total - Marital status for the total population aged 15 years and over - 100% data,FALSE,,,,0
59,Married or living common-law,FALSE,,da_family_info,married,1
60,Married,TRUE,,,,2
61,Living common-law,TRUE,,,,2
62,Living common law - Never married,TRUE,,,,3
63,Living common law - Separated,TRUE,,,,3
64,Living common law - Divorced,TRUE,,,,3
65,Living common law - Widowed,TRUE,,,,3
66,Not married and not living common-law,FALSE,,da_family_info,not_married,1
67,Not married and not living common law - Never married,TRUE,,,,2
68,Not married and not living common law - Separated,TRUE,,,,2
69,Not married and not living common law - Divorced,TRUE,,,,2
70,Not married and not living common law - Widowed,TRUE,,,,2
71,Total - Census families in private households by family size - 100% data (5),TRUE,,,,0
72,2 persons,TRUE,,,,1
73,3 persons,TRUE,,,,1
74,4 persons,TRUE,,,,1
75,5 or more persons,TRUE,,,,1
76,Average size of census families,TRUE,,,,0
77,Average number of children in census families with children (6),TRUE,,,,0
78,Total number of census families in private households - 100% data,TRUE,,,,0
79,Total couple families,TRUE,,,,1
80,Married couples,TRUE,,,,2
81,With children (6),TRUE,,,,3
82,Without children,TRUE,,,,3
83,Common-law couples,TRUE,,,,2
84,With children (6),TRUE,,,,3
85,Without children,TRUE,,,,3
86,Total one-parent families,TRUE,,,,1
87,in which the parent is a woman+,TRUE,,,,2
88,in which the parent is a man+,TRUE,,,,2
89,Total - Persons in private households - 100% data,TRUE,,,,0
90,Total - Persons in census families,TRUE,,,,1
91,Married spouses or common-law partners,TRUE,,,,2
92,Parents in one-parent families,TRUE,,,,2
93,Children (6),TRUE,,,,2
94,In a two-parent family,TRUE,,,,3
95,In a one-parent family,TRUE,,,,3
96,Total - Persons not in census families in private households - 100% data,TRUE,,,,1
97,Living alone,TRUE,,,,2
98,Living with other relatives (7),TRUE,,,,2
99,Living with non-relatives only,TRUE,,,,2
100,Total - Household type - 100% data,FALSE,,,,0
101,One-census-family households without additional persons,FALSE,,,,1
102,Couple-family households,FALSE,,da_family_info,couple_family,2
103,With children (6),FALSE,,da_family_info,cfh_with_children,3
104,Without children,FALSE,,da_family_info,cfh_without_children,3
105,One-parent-family households,FALSE,,da_family_info,one_parent,2
106,Multigenerational households (8),FALSE,,da_family_info,multigenerational,1
107,Multiple-census-family households (9),FALSE,,da_family_info,multiple_family,1
108,One-census-family households with additional persons (9),FALSE,,da_family_info,one_family_plus,1
109,Two-or-more-person non-census-family households ,FALSE,,da_family_info,non_family_plus,1
110,One-person households,FALSE,,da_family_info,one_person,1
111,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data (10),TRUE,,,,0
112,Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,TRUE,,,,1
113,Median total income in 2020 among recipients ($),TRUE,,,,2
114,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,TRUE,,,,1
115,Median after-tax income in 2020 among recipients ($),TRUE,,,,2
116,Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,TRUE,,,,1
117,Median market income in 2020 among recipients ($),TRUE,,,,2
118,Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,TRUE,,,,1
119,Median employment income in 2020 among recipients ($),TRUE,,,,2
120,Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,TRUE,,,,1
121,Median government transfers in 2020 among recipients ($),TRUE,,,,2
122,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,TRUE,,,,1
123,Median employment insurance benefits in 2020 among recipients ($),TRUE,,,,2
124,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,TRUE,,,,1
125,Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),TRUE,,,,2
126,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data (11),TRUE,,,,0
127,Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,TRUE,,,,1
128,Average total income in 2020 among recipients ($),TRUE,,,,2
129,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,TRUE,,,,1
130,Average after-tax income in 2020 among recipients ($),TRUE,,,,2
